Code,Parties,Jurisdiction,Type,Commodity,Status,Application date,Grant date,Expiry date,Number of licence renewals,Mining area,Application number,Comments,Map_Refe,guidSHectarep,guidLice,PartName
TN2572,2M CAPITAL LIMITED,Uganda,Exploration licence,Pozzolana,Application,21-Jun-17,,,,43.6000 square kilometer ,TN2572,,"Western Region, Rubirizi",97e9e5eb-45af-4544-bd53-93a62f11c637,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1347,3M MINING LIMITED (100%),Uganda,Exploration licence,Iron Ore,Active,27-Mar-14,19-Jun-14,18-Jun-17,0,6.1600 square kilometer  ,TN1941,,"Eastern Region, Manafwa",3ac47e23-0305-4ac8-8f5f-e43ccea1893c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML4647,3T MINING LIMITED (100%),Uganda,Mining lease,Coltan,Active,,13-Jan-03,01-Dec-24,0,6.5512 Hectare,,,"Central Region, Wakiso",232da329-f9f1-481d-9a50-e6e01ef10535,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
TN1930,ABM LOGISTIC (100%),Uganda,Exploration licence,"Base Metals, Gold, Platinum Group Metals, Rare Earth Elements",Application,18-Mar-14,,,,92.0418 square kilometer,TN1930,,"Western Region, Hoima",e7cc3d9e-12e8-456b-8427-c3f79994e1f7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2989,ACCESS MINING UGANDA SMC LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,30-Nov-18,,,,306.0000 square kilometer,TN2989,,"Western Region, Kabarole",9a630495-66d7-4f4a-8af5-5f3f10af39c3,41b6661a-9653-4509-98f5-f5ffc27acb34,1
EL 1848,ACE MINERAL RESOURCES LIMITED (100%),Uganda,Exploration licence,"Gold, Marble, Platinum Group Metals",Active,15-Feb-16,17-Oct-18,16-Oct-21,0,437.0000 square kilometer,TN2324,,"Northern Region, Moroto, Napak",9eddff95-f56c-4b14-afda-77791091d033,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1746,ACHOLI RESOURCES LIMITED,Uganda,Exploration licence,"Base Metals, Cobalt, Copper, Gold, Precious Metals",Active,01-Nov-18,19-Apr-18,18-Apr-21,0,350.8417 square kilometer,TN2706,,"Northern Region, Amudat, Nakapiripirit",f090fd92-a2c5-4bd2-bf5e-8b7c00fc2ce5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2307,AFRICA TRADE AND INVESTMENT FUND LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,01-Apr-16,,,,112.0000 square kilometer,TN2307,,"Northern Region, Amuru",2f8e4aa6-8233-4001-a0a1-e42b5b24e503,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1772,AFRICAN PANTHER RESOURCES (U) LTD,Uganda,Exploration licence,"Base Metals, Precious Metals",Active,26-Jun-17,20-Jun-18,19-Jun-21,0,30.0000 square kilometer,TN2577,,"Western Region, Isingiro",ba5174a2-06b3-4747-a49c-595b62775725,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1771,AFRICAN PANTHER RESOURCES (U) LTD,Uganda,Exploration licence,"Base Metals, Precious Metals",Active,07-May-17,07-Apr-18,07-Mar-21,0,0.1517 square kilometer,TN2584,,"Western Region, Isingiro",e3448258-ca73-41ac-b750-650b5aac9ac6,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
ML1433,AFRICAN PANTHER RESOURCES (U) LTD (100%),Uganda,Mining lease,"Base Metals, Cassiterite, Gold, Silver",Active,24-Dec-14,02-Feb-15,02-Jan-36,0,2.0020 square kilometer,TN2111,,"Western Region, Isingiro",a858dd94-8451-4b02-af6a-3e61bd776056,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
EL1380,AFRICAN PANTHER RESOURCES (U) LTD (100%),Uganda,Exploration licence,"Base Metals, Precious Metals",Active,23-Sep-14,25-Sep-14,24-Sep-19,1,8.8480 square kilometer,TN2038,"Date reviewed: 02/04/2015
User reviewed: Morris 
Status: up-to-date
Comments:","Western Region, Isingiro",1c606625-d806-43e5-bc5c-abd4a48cc2a5,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 2
EL1548,AFRICAN PANTHER RESOURCES (U) LTD (100%),Uganda,Exploration licence,"Base Metals, Precious Metals",Active,16-Jul-15,29-Dec-15,28-Dec-18,0,15.0000 square kilometer,TN2226,,"Western Region, Isingiro",b164c1c2-f001-4999-815e-944fdbb9efb9,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2507,AGNES WANDERA NAJJUKA,Uganda,Exploration licence,"Base Metals, Gold, Industrial Minerals, Iron Ore",Application,15-Feb-17,,,,50.0000 square kilometer,TN2507,,"Central Region, Kalungu",9ffeaa70-41e6-4368-ab28-722e6a76b442,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2806,AINEBYONA PAUL,Uganda,Exploration licence,"Base Metals, Bentonite, Diatomite, Gold",Application,05-Apr-18,,,,89.2505 square kilometer,TN2806,,"Western Region, Kanungu, Mitooma, Rukungiri",b823b1ee-b22b-42c5-bfe4-6b2ad79fa2ae,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
